pt1,pt2,eta1,eta2,phi1,phi2,E1,E2
+6.6613883e+01,+1.9393000e+01,+2.7254599e-01,+1.9786887e+00,-2.0586567e+00,+2.3016121e+00,+6.9103320e+01,+7.1477773e+01
+2.6119836e+01,+1.5214339e+01,+6.2824631e-01,+3.4771532e-01,-1.1258445e-01,+1.6729144e+00,+3.1446289e+01,+1.6143741e+01
+2.5556057e+01,+1.5335860e+01,-1.9043061e-01,+4.4886672e-01,+1.4469540e-02,+2.1973934e+00,+2.6021053e+01,+1.6907250e+01
+3.7643551e+01,+1.6677520e+01,+4.0447783e-01,+1.6345824e-01,-1.1863691e+00,+1.0369939e+00,+4.0765184e+01,+1.6901146e+01
+4.7278723e+01,+4.4170797e+01,+1.1968207e+00,+8.7735653e-01,+1.3209188e+00,-1.8151554e+00,+8.5379094e+01,+6.2290098e+01
+5.0112680e+01,+3.5614988e+01,+2.2527454e+00,+1.3200892e+00,+1.5890553e+00,-1.5598625e+00,+2.4101517e+02,+7.1423484e+01
+3.8687418e+01,+3.6685711e+01,+8.1860852e-01,+6.6598195e-01,-1.3651654e+00,-1.9236787e-01,+5.2390367e+01,+4.5126535e+01
+1.2588002e+02,+9.0010789e+01,-9.6286577e-01,-1.8438929e-01,-2.8681896e+00,+3.1349164e-01,+1.8888227e+02,+9.1545289e+01
+5.2589387e+01,+3.6346852e+01,-8.1732446e-01,-6.9995111e-01,-9.3862891e-01,+2.2865191e+00,+7.1154617e+01,+4.5620094e+01
+3.5448793e+01,+3.3692664e+01,+6.3371152e-01,-7.4372727e-01,-1.9460860e+00,+6.9134486e-01,+4.2808289e+01,+4.3448523e+01
+4.1844164e+01,+1.0094348e+01,+2.2032769e+00,+1.7683243e+00,+9.0183067e-01,-2.0353434e+00,+1.9175252e+02,+3.0442746e+01
+4.6626340e+01,+4.1790547e+01,+2.5240973e-01,-2.3200521e-01,+2.8085709e-01,-2.9475977e+00,+4.8119656e+01,+4.2920449e+01
+4.9158387e+01,+4.8013426e+01,+1.3999406e+00,+1.8139482e+00,+8.9151758e-01,-1.4576994e+00,+1.0572920e+02,+1.5118542e+02
+4.5196191e+01,+4.5042086e+01,-5.2144235e-01,-9.1026789e-01,-2.8394112e-01,+2.8332357e+00,+5.1481152e+01,+6.5027363e+01
+6.8103133e+01,+2.0749916e+01,-4.9395517e-01,-1.6357563e+00,+2.3296514e+00,-1.2813010e+00,+7.6581742e+01,+5.5279266e+01
+4.9681930e+01,+1.8142982e+01,-2.2272882e+00,-1.9444884e+00,+5.3865916e-01,+6.6729897e-01,+2.3307039e+02,+6.4707992e+01
+8.6725281e+01,+2.4557523e+01,-1.2357853e-01,+4.7201823e-02,-4.8431259e-02,+2.8727849e+00,+8.7388344e+01,+2.4584887e+01
+3.1508941e+01,+2.7105559e+01,-1.8607243e+00,+2.1059133e-01,-2.8743412e+00,+3.2898480e-01,+1.0372672e+02,+2.7709033e+01
+6.2160262e+01,+1.1715146e+01,+5.4021215e-01,+1.1589470e+00,+1.4680945e+00,-2.4201598e+00,+7.1453164e+01,+2.0504076e+01
+4.8270133e+01,+4.2482914e+01,+9.9570769e-01,+8.2521534e-01,-2.5490127e+00,+3.2166258e-01,+7.4241898e+01,+5.7787656e+01
+4.2168840e+01,+3.1652080e+01,+1.8930541e+00,+1.1467222e+00,-2.5282645e+00,+4.3836102e-01,+1.4316803e+02,+5.4845785e+01
+4.2479633e+01,+3.8104750e+01,+1.3229105e+00,+2.2216418e+00,+1.5491484e+00,-1.5776231e+00,+8.5398813e+01,+1.7777566e+02
+4.7117246e+01,+4.0203738e+01,+9.2033345e-01,+1.1880331e+00,-3.0016975e+00,+2.6901044e-02,+6.8520656e+01,+7.2074172e+01
+2.9954900e+01,+9.6412627e+00,-2.3862815e+00,+9.0227795e-01,+1.9790721e+00,-2.1193728e+00,+1.6422716e+02,+1.3839746e+01
+4.6419105e+01,+4.1002367e+01,-1.7091006e-01,-5.4514307e-01,-2.9570699e+00,+2.1376067e-01,+4.7098832e+01,+4.7247434e+01
+3.9860895e+01,+2.8855896e+01,-1.8005985e+00,+6.0118217e-02,+2.8319066e+00,+2.2315045e-01,+1.2393692e+02,+2.8908250e+01
+5.0638281e+01,+4.0719602e+01,+1.5319970e+00,+1.2333404e+00,+3.3390701e-01,-3.1246741e+00,+1.2263361e+02,+7.5819867e+01
+5.0301344e+01,+4.2566129e+01,-1.7173629e+00,-1.7120379e+00,+2.9985111e+00,+4.1238274e-02,+1.4460027e+02,+1.2175484e+02
+4.8347031e+01,+4.7971516e+01,+8.0338061e-01,+2.3640631e-01,+1.7314481e+00,-9.2446321e-01,+6.4806531e+01,+4.9318285e+01
+4.8435730e+01,+2.9673572e+01,+1.3248426e-01,-1.2615117e+00,-8.7499034e-01,+2.7983255e+00,+4.8861426e+01,+5.6587211e+01
+2.5913844e+01,+9.3773955e+00,+1.6581922e+00,+2.2387669e+00,-1.9095724e+00,+8.6645198e-01,+7.0489547e+01,+4.4487984e+01
+4.6578668e+01,+4.4301535e+01,+1.3066192e+00,+1.0529962e+00,+2.6172225e+00,-5.6355262e-01,+9.2328266e+01,+7.1217383e+01
+1.0357277e+02,+1.0284841e+02,-3.3311599e-01,-5.6350380e-01,+2.3517442e+00,-3.0475101e+00,+1.0937270e+02,+1.1961420e+02
+4.4963305e+01,+4.4050641e+01,-2.1103977e-01,+4.9202842e-01,-2.3429534e+00,+8.8193733e-01,+4.5968309e+01,+4.9491238e+01
+4.6168301e+01,+4.3881809e+01,+6.8365920e-01,+8.2587773e-01,+1.4324188e+00,-2.1005032e+00,+5.7384531e+01,+5.9717422e+01
+6.0035066e+01,+4.0456113e+01,-3.4157836e-01,-1.9020472e-01,-6.7586267e-01,+2.4269922e+00,+6.3571660e+01,+4.1190266e+01
+3.2951855e+01,+1.8898793e+01,-1.1946052e-01,+2.2481766e+00,-2.3667729e+00,+2.8310821e+00,+3.3187262e+01,+9.0487828e+01
+6.3620496e+01,+3.1097500e+01,-1.0527964e+00,-1.1928173e+00,-9.0887040e-01,+2.5837789e+00,+1.0225766e+02,+5.5971152e+01
+2.9902299e+01,+1.1687292e+01,+2.3328004e+00,+8.1954050e-01,+1.4629982e+00,-1.4129621e+00,+1.5554862e+02,+1.5837164e+01
+3.6099539e+01,+3.4607098e+01,-2.0213530e+00,-5.4092616e-01,-2.0768878e+00,+1.0204918e+00,+1.3864041e+02,+3.9794801e+01
+5.7741609e+01,+4.8458578e+01,-1.5678321e+00,-1.8936185e+00,-5.7483274e-01,+1.9001012e+00,+1.4449080e+02,+1.6461116e+02
+3.2980336e+01,+2.6238121e+01,-3.1545690e-01,+1.8612375e+00,+2.0350339e+00,-1.1013142e+00,+3.4635137e+01,+8.6417563e+01
+4.3470180e+01,+3.8156785e+01,-1.1749341e-01,+1.8908839e-01,+3.0463009e+00,+4.1388574e-01,+4.3770699e+01,+3.8841102e+01
+3.1858346e+01,+3.1854221e+01,-2.8930864e-01,-2.2166442e-02,-1.1552283e+00,+2.2769852e+00,+3.3200934e+01,+3.1862047e+01
+7.0609359e+01,+7.8873638e+00,-1.3617426e+00,-8.2668501e-01,+6.9720501e-01,-2.2332492e+00,+1.4683936e+02,+1.0739538e+01
+3.4454539e+01,+2.6042590e+01,-6.8756270e-01,+1.3222749e+00,-1.3354921e-01,+2.2406528e+00,+4.2924535e+01,+5.2325754e+01
+4.9855426e+01,+4.4071000e+01,+1.5957437e-01,-2.7859771e-01,+1.1023127e+00,-2.0764327e+00,+5.0491531e+01,+4.5792414e+01
+4.4796707e+01,+4.3955301e+01,-6.9468796e-01,-5.2734494e-01,+1.5696214e+00,-1.5533792e+00,+5.6047715e+01,+5.0210082e+01
+4.0294980e+01,+1.5554025e+01,+1.7174263e+00,+1.7375162e+00,+1.6985594e+00,-2.0796318e+00,+1.1584211e+02,+4.5566938e+01
+4.5539012e+01,+3.8052656e+01,+7.1022570e-01,+1.6063842e+00,+2.5438762e+00,-7.2671527e-01,+5.7515496e+01,+9.8658539e+01
+2.5623387e+01,+2.4299701e+01,+8.3844346e-01,-1.5993698e+00,-2.5284088e+00,+6.0031247e-01,+3.5170145e+01,+6.2595336e+01
+5.4224539e+01,+4.0296973e+01,-1.9017375e+00,-1.4750586e+00,-9.5054668e-01,+2.2347665e+00,+1.8563313e+02,+9.2684250e+01
+5.2610910e+01,+4.4944898e+01,+1.0860198e+00,+2.3367548e+00,+6.2990582e-01,-7.7643234e-01,+8.6808500e+01,+2.3470773e+02
+4.3635668e+01,+4.3611023e+01,+2.4899235e-01,-1.7518204e-01,+2.6916256e-02,-3.1142921e+00,+4.4995316e+01,+4.4281922e+01
+4.7754859e+01,+3.7141660e+01,-1.8695723e+00,-1.0232961e+00,-1.5205640e+00,+1.7003120e+00,+1.5853928e+02,+5.8345168e+01
+6.4914066e+01,+3.5584910e+01,+1.9815667e+00,+1.5629373e+00,-8.8010746e-01,+2.4488585e+00,+2.3992086e+02,+8.8648117e+01
+3.7715293e+01,+3.5916004e+01,-3.1339705e-01,+1.0229354e+00,-1.6018127e-01,+2.9516075e+00,+3.9582797e+01,+5.6404121e+01
+5.2274363e+01,+3.5385207e+01,-1.0190097e+00,-1.2291898e-01,+1.5681220e+00,-8.7127167e-01,+8.1846094e+01,+3.5653020e+01
+6.5110512e+01,+3.2092828e+01,-7.4793875e-01,-1.3215810e+00,-1.0716408e+00,-2.8961248e+00,+8.4187375e+01,+6.4443410e+01
+4.2035047e+01,+4.2028277e+01,+3.7612170e-01,-2.8178021e-01,-2.5914462e+00,+4.0156385e-01,+4.5043563e+01,+4.3707871e+01
+4.6749086e+01,+4.3045035e+01,+1.2238015e+00,+1.7499146e+00,-1.5395470e+00,+1.6890250e+00,+8.6350266e+01,+1.2758338e+02
+3.7579684e+01,+1.9908611e+01,-2.2989621e+00,-6.9315955e-02,+1.1267635e+00,-2.2064903e+00,+1.8910473e+02,+1.9956738e+01
+4.1137773e+01,+2.2803145e+01,+1.0268381e+00,+1.1285819e+00,-3.0376232e-01,-2.9860215e+00,+6.4799410e+01,+3.8933648e+01
+4.5813883e+01,+4.5513199e+01,+1.4654928e-01,-7.2715901e-02,+1.5374284e+00,-1.7834450e+00,+4.6306852e+01,+4.5633703e+01
+5.4808145e+01,+3.8452453e+01,+2.4398806e+00,+1.9286093e+00,+2.3835180e+00,-7.7510566e-01,+3.1675937e+02,+1.3506977e+02
+5.1264855e+01,+3.6467211e+01,+7.1626371e-01,+1.3878553e+00,-7.1475148e-01,+2.4866602e+00,+6.4987156e+01,+7.7599719e+01
+7.2343617e+01,+3.1141725e+01,-1.9671661e-01,-2.2044019e-01,-3.1166430e+00,-5.1533329e-01,+7.3747969e+01,+3.1901617e+01
+5.6805035e+01,+3.4493684e+01,+1.7772794e+00,+2.2773921e+00,-2.3837297e+00,+1.0226173e+00,+1.7276806e+02,+1.6994639e+02
+5.1900734e+01,+3.7804777e+01,+2.3706748e+00,+1.8075008e+00,+1.4800410e-01,+3.1048820e+00,+2.8021291e+02,+1.1831500e+02
+8.5810148e+01,+1.9416633e+01,+5.2464211e-01,+1.1123853e+00,+1.2170382e+00,-1.6085821e+00,+9.7893180e+01,+3.2720873e+01
+5.0100285e+01,+4.0998035e+01,-7.8783381e-01,-7.6635009e-01,-2.0291092e+00,+8.9785379e-01,+6.6469578e+01,+5.3637910e+01
+5.2507395e+01,+3.6287203e+01,+3.3549619e-01,+1.2765795e+00,-1.1986306e+00,+2.6240816e+00,+5.5490273e+01,+7.0095055e+01
+4.8910664e+01,+4.3625676e+01,+1.0189532e-01,-2.4565016e-01,+2.4596728e-01,-2.8623729e+00,+4.9164910e+01,+4.4948707e+01
+3.1946033e+01,+7.1955991e+00,+2.0659375e+00,+1.6006298e-01,-1.3681942e+00,+2.6573923e+00,+1.2809391e+02,+7.2887383e+00
+3.1937295e+01,+1.8559883e+01,-2.4224801e+00,+7.8041814e-02,+5.9245390e-01,-1.8628501e+00,+1.8144353e+02,+1.8616432e+01
+4.2087711e+01,+3.9892316e+01,-1.8209757e-01,-8.9819825e-01,-4.4310388e-01,+2.9731236e+00,+4.2787445e+01,+5.7095445e+01
+4.8570508e+01,+3.9681258e+01,-8.5323370e-01,-7.8128093e-01,+1.3490958e+00,-1.9359202e+00,+6.7349398e+01,+5.2420785e+01
+4.3539191e+01,+3.7032102e+01,+1.0504396e-02,-1.0173349e+00,+6.6944313e-01,-2.7411003e+00,+4.3541594e+01,+5.7906562e+01
+4.5262691e+01,+4.4479473e+01,+4.8716503e-01,+1.0541856e-01,+1.4128754e+00,-1.6547142e+00,+5.0740855e+01,+4.4726852e+01
+2.6479783e+01,+2.5600385e+01,+3.9624229e-01,-2.0076516e+00,-2.1865866e+00,+1.0183518e+00,+2.8586088e+01,+9.7026984e+01
+8.5733664e+01,+7.2508105e+00,-2.2832437e+00,+6.8597281e-01,+1.4106481e+00,+1.4634387e+00,+4.2482731e+02,+9.0247314e+00
+4.3655922e+01,+3.9415242e+01,+1.3291887e+00,+6.4160490e-01,+2.7747638e+00,-2.7806717e-01,+8.8243219e+01,+4.7810172e+01
+5.0153902e+01,+1.1432807e+01,+1.6316684e+00,+4.5953795e-01,+2.2649968e+00,+1.8767833e+00,+1.3310847e+02,+1.2661362e+01
+2.9949506e+01,+9.5572070e+00,-2.4113743e+00,-1.1652215e+00,-2.3811336e+00,-5.4724216e-01,+1.6830073e+02,+1.6813783e+01
+5.3327496e+01,+4.1693301e+01,+7.7951276e-01,+1.4908382e+00,+1.0727346e+00,-3.0965395e+00,+7.0366750e+01,+9.7270523e+01
+4.2775969e+01,+2.9867531e+01,+1.4052826e-01,+1.4666709e+00,+2.2999163e-01,-2.9449775e+00,+4.3199168e+01,+6.8179773e+01
+5.6489906e+01,+3.6973730e+01,-1.8230116e+00,-2.3290076e+00,-2.6508789e+00,-8.6285554e-02,+1.7941230e+02,+1.9161894e+02
+4.6962172e+01,+4.5139910e+01,+8.5656613e-01,+1.5169148e+00,-5.4541475e-01,+2.3288591e+00,+6.5269930e+01,+1.0782866e+02
+4.4207652e+01,+3.2818879e+01,-9.2083877e-01,-2.2994411e+00,+1.8768500e+00,-2.1250248e+00,+6.4312957e+01,+1.6522544e+02
+3.3497246e+01,+2.5007934e+01,+1.2134072e+00,-8.8329917e-01,-9.0575492e-01,+2.3965302e+00,+6.1335441e+01,+3.5414938e+01
+4.6423246e+01,+3.5628348e+01,+9.9259645e-01,-5.0877541e-01,+1.3724524e+00,-1.4176837e+00,+7.1232938e+01,+4.0340059e+01
+5.6091367e+01,+4.6512141e+01,-7.9510725e-01,+4.1563275e-01,+1.0098031e+00,-1.9066046e-01,+7.4775797e+01,+5.0587922e+01
+3.9512934e+01,+3.1358244e+01,+2.2472851e+00,+1.6873831e+00,+1.8558687e+00,-1.2995851e+00,+1.8902395e+02,+8.7651367e+01
+3.8597977e+01,+3.5586355e+01,-5.3573394e-01,-1.7823076e+00,-2.2310312e+00,+7.4079490e-01,+4.4270875e+01,+1.0874849e+02
+2.9508668e+01,+1.0231044e+01,-1.0762703e+00,+1.7502842e+00,+1.5949860e-02,-3.0644119e+00,+4.8314273e+01,+3.0335039e+01
+3.5661195e+01,+1.3171978e+01,-1.3210003e+00,-9.2787766e-01,+1.4809257e+00,-1.9012525e+00,+7.1572742e+01,+1.9260906e+01
+5.1342297e+01,+3.5944281e+01,+4.9471933e-01,-8.3191109e-01,-9.6536666e-01,+3.0576191e+00,+5.7754531e+01,+4.9116578e+01
+4.6722453e+01,+3.5234219e+01,-1.7225171e+00,-1.0294628e+00,+1.9676716e+00,-1.1856639e+00,+1.3496292e+02,+5.5612992e+01
+1.2137169e+02,+4.1427934e+01,-1.0404580e+00,+1.1904194e+00,-2.5412769e+00,-3.0156674e+00,+1.9321194e+02,+7.4416117e+01
+4.3780508e+01,+3.8696000e+01,-6.3777655e-02,+3.6094588e-01,+2.1705334e+00,-8.9763701e-01,+4.3869707e+01,+4.1244316e+01
+4.6381691e+01,+4.6079855e+01,-1.0061201e+00,-9.2007214e-01,+1.0346255e-01,+2.8275051e+00,+7.1905703e+01,+6.6999313e+01
+2.7341146e+01,+2.7311637e+01,-6.7560327e-01,+1.5622972e+00,+4.2152002e-01,-2.5493820e+00,+3.3822086e+01,+6.7998133e+01
+4.6052016e+01,+4.2059449e+01,+1.7672542e+00,+1.9390225e+00,+1.3611381e+00,-1.8162825e+00,+1.3874452e+02,+1.4922266e+02
+4.9623398e+01,+4.1773301e+01,+8.6429965e-01,+8.3242106e-01,-2.7574573e+00,+6.2277776e-01,+6.9341008e+01,+5.7101441e+01
+4.9879039e+01,+4.0788957e+01,-9.1830987e-01,-6.4693791e-01,+2.1303678e+00,-1.3944237e+00,+7.2430500e+01,+4.9626516e+01
+5.8949789e+01,+3.6309461e+01,-2.3451786e+00,-1.9862617e+00,+1.8573675e+00,-1.4652148e+00,+3.1039916e+02,+1.3480698e+02
+3.9407883e+01,+3.9334051e+01,-5.0629681e-01,-1.5537397e+00,+1.5701678e+00,-1.6772497e+00,+4.4567664e+01,+9.7166531e+01
+4.4029578e+01,+1.8676570e+01,+2.2337379e+00,+2.8014329e-01,-6.9081008e-01,+2.0115132e+00,+2.0785969e+02,+1.9414246e+01
+4.3976871e+01,+2.1966568e+01,+4.8530191e-01,-1.2868247e+00,-2.8928804e+00,-1.5921958e-01,+4.9258098e+01,+4.2806559e+01
+4.5334090e+01,+4.1826121e+01,-9.1391331e-01,-1.0364355e+00,-6.6833502e-01,+2.4053335e+00,+6.5621531e+01,+6.6375359e+01
+5.3824883e+01,+1.9746057e+01,-1.1585101e+00,+5.3297913e-01,+1.6738247e+00,-1.0569572e+00,+9.4170336e+01,+2.2617680e+01
+2.8337727e+01,+2.3762035e+01,+1.2617762e+00,-1.0321223e+00,+2.8549638e+00,-2.6988545e-01,+5.4052043e+01,+3.7582977e+01
+3.5310613e+01,+3.4500012e+01,-1.2512157e+00,+2.6143035e-01,-1.9919984e+00,+1.1527913e+00,+6.6750219e+01,+3.5685707e+01
+4.8258230e+01,+4.8035488e+01,-1.4934964e+00,-1.3232294e+00,+3.0387583e+00,+2.0131774e-02,+1.1285730e+02,+9.6594719e+01
+3.9045945e+01,+3.0598697e+01,-9.4695002e-01,-2.4545817e+00,+3.4011653e-01,-2.8201134e+00,+5.7900406e+01,+1.7942253e+02
+3.6150410e+01,+2.8056074e+01,+7.1510857e-01,-5.0503850e-01,+1.8879781e+00,-1.3825694e+00,+4.5794395e+01,+3.1710822e+01
+4.5905910e+01,+3.7666969e+01,-1.1158211e-01,+7.1410465e-01,+2.1077065e+00,-9.4562924e-01,+4.6192105e+01,+4.7686266e+01
+4.8453758e+01,+2.9634098e+01,+2.1875961e+00,+8.5818756e-01,+1.1566350e+00,-2.1203995e+00,+2.1867052e+02,+4.1233184e+01
+4.3295234e+01,+4.1266680e+01,+3.8694137e-01,-5.5033004e-01,+1.6260912e+00,-1.4838876e+00,+4.6577035e+01,+4.7675078e+01
+2.7540766e+01,+2.7462697e+01,-1.8205800e+00,+3.2948285e-01,-2.2059407e+00,+4.4314247e-01,+8.7268086e+01,+2.8967086e+01
+4.3394098e+01,+4.2464770e+01,+1.7281836e+00,+2.4049349e+00,-6.1992669e-01,-3.1087053e+00,+1.2601703e+02,+2.3712287e+02
+3.1921521e+01,+2.4397420e+01,+2.1119177e+00,-1.5515824e-01,+1.2306437e+00,-1.8282256e+00,+1.3383225e+02,+2.4691682e+01
+3.8193246e+01,+3.4249754e+01,-1.0586565e+00,+2.9351199e-01,-2.9558454e+00,+3.4876308e-01,+6.1671055e+01,+3.5735828e+01
+5.0728316e+01,+3.5910539e+01,-1.6614924e-01,+7.8047872e-01,+1.4270190e+00,-1.8818631e+00,+5.1430121e+01,+4.7414543e+01
+3.3204074e+01,+2.6437332e+01,-2.6034732e+00,-2.1176627e+00,+5.4636942e-03,+2.8753123e+00,+2.2553202e+02,+1.1145984e+02
+4.9734938e+01,+2.1522752e+01,+7.5072485e-01,+1.8513192e+00,+5.8218694e-01,+1.9903396e+00,+6.4420652e+01,+7.0220609e+01
+1.1371670e+02,+3.3327176e+01,-3.2914373e-01,-5.5691730e-03,+4.9296185e-01,+1.4379294e+00,+1.1993230e+02,+3.3327859e+01
+5.1356445e+01,+2.8671863e+01,-2.1515586e+00,-1.0036443e+00,+1.0247049e+00,-2.2834387e+00,+2.2377423e+02,+4.4366215e+01
+4.8561059e+01,+2.2001025e+01,-5.8663651e-02,+1.6530519e+00,-3.2855484e-01,+2.7843111e+00,+4.8644641e+01,+5.9560734e+01
+8.7102555e+01,+2.4979736e+01,+8.7825412e-01,+1.2528214e+00,-2.6920447e+00,+9.5089865e-01,+1.2291050e+02,+4.7285422e+01
+2.6207301e+01,+7.8127881e+00,+8.3272094e-01,+1.4074404e+00,+1.4372216e-01,+2.9080446e+00,+3.5831035e+01,+1.6916008e+01
+2.5475744e+01,+1.8703588e+01,+1.3369554e+00,+1.4456598e+00,-4.2417511e-01,-8.8093138e-01,+5.1844238e+01,+4.1898438e+01
+4.0143461e+01,+3.4816520e+01,+1.0311382e-01,-1.1116488e+00,+7.5462383e-01,-2.2591515e+00,+4.0357199e+01,+5.8637758e+01
+5.0364852e+01,+4.2910473e+01,+1.1308203e+00,+1.4147575e+00,+2.9782677e+00,-8.0365852e-02,+8.6148266e+01,+9.3512125e+01
+4.9847555e+01,+3.8067328e+01,-4.7661218e-01,-7.3814118e-01,-3.1410789e+00,+1.2174304e-01,+5.5617309e+01,+4.8917484e+01
+9.1593414e+01,+4.8092508e+01,-1.8408791e+00,-2.3035133e+00,-2.8041060e+00,-1.4263613e+00,+2.9588125e+02,+2.4308825e+02
+4.6467168e+01,+4.4008141e+01,+2.0487971e+00,+2.3724043e+00,+1.4490250e+00,-1.4013156e+00,+1.8325380e+02,+2.3800481e+02
+3.8009848e+01,+3.5825145e+01,-1.7139331e-01,-1.7035017e+00,+2.3999059e+00,-1.4516344e+00,+3.8569645e+01,+1.0165738e+02
+6.3470633e+01,+5.5121422e+01,+1.2635032e+00,+1.6603290e+00,+4.0055314e-01,+2.3130236e+00,+1.2124341e+02,+1.5023672e+02
+6.4210090e+01,+3.7442156e+01,+1.0573002e+00,+7.6700979e-01,+2.3393800e+00,-1.4329675e+00,+1.0357027e+02,+4.9006492e+01
+5.1647203e+01,+3.9981094e+01,+3.4106609e-01,-1.2721109e-01,+2.9427283e+00,-6.3743144e-01,+5.4680496e+01,+4.0305168e+01
+3.8687977e+01,+3.5491430e+01,+5.0228065e-01,-9.0194482e-01,-1.9545995e+00,+1.2190510e+00,+4.3671785e+01,+5.0933344e+01
+8.2817766e+01,+2.6306588e+01,-1.2594008e+00,-1.5476028e+00,+7.2406185e-01,-2.5417795e+00,+1.5764916e+02,+6.4621430e+01
+3.2847477e+01,+8.7551182e+00,+1.5852871e+00,-2.1376394e-01,-2.0137753e+00,-2.0090318e+00,+8.3524320e+01,+8.9559141e+00
+3.9840988e+01,+3.7684660e+01,-2.0171897e+00,-9.4590676e-01,+2.6078689e+00,-7.0315838e-01,+1.5239578e+02,+5.5838867e+01
+3.7013359e+01,+3.4114652e+01,-1.1535149e+00,+1.8636481e-01,-2.6791689e+00,+2.0913815e-01,+6.4492883e+01,+3.4708961e+01
+8.2874867e+01,+3.8982750e+01,-1.6515614e+00,-1.1198581e+00,+2.3399327e+00,+5.4291862e-01,+2.2404667e+02,+6.6090297e+01
+2.9545344e+01,+8.6163994e+00,-1.8724123e+00,-1.5820898e+00,+1.7307241e+00,-1.3118789e+00,+9.8352305e+01,+2.1845404e+01
+4.3908211e+01,+3.8047906e+01,+9.0878707e-01,-1.6072609e-01,+7.0321590e-01,-2.3739901e+00,+6.3322750e+01,+3.8540410e+01
+4.4993781e+01,+4.1382840e+01,+1.5020248e+00,+1.9954443e+00,-1.7577035e+00,+1.3432856e+00,+1.0603805e+02,+1.5500823e+02
+4.3265441e+01,+4.2313586e+01,-1.0997591e+00,-5.2885652e-01,-1.7996613e+00,+1.5591381e+00,+7.2175352e+01,+4.8370238e+01
+3.8354828e+01,+2.8929801e+01,+1.1459882e+00,-2.4076830e-01,+3.5386842e-01,-2.6169791e+00,+6.6420164e+01,+2.9772381e+01
+3.9124203e+01,+3.5107918e+01,-4.5100987e-01,+9.8573595e-01,+2.3726513e+00,-8.4456879e-01,+4.3171238e+01,+5.3591320e+01
+2.9724963e+01,+2.4984299e+01,-9.2063242e-01,+1.6641740e+00,+2.2174504e+00,+8.1812394e-01,+4.3237113e+01,+6.8340250e+01
+5.0418711e+01,+3.8670707e+01,+4.1297507e-01,+1.6775803e-01,-1.9884593e+00,+9.9445701e-01,+5.4779578e+01,+3.9216133e+01
+4.1782578e+01,+3.2501152e+01,-4.9882936e-01,-1.5607780e+00,-1.4974830e+00,+1.6233900e+00,+4.7089781e+01,+8.0806023e+01
+4.5161375e+01,+3.9561078e+01,+4.2262006e-01,+1.2914317e+00,-1.8297778e+00,+1.2682055e+00,+4.9254848e+01,+7.7398641e+01
+4.6015797e+01,+4.2831680e+01,-2.2557199e+00,-2.0108390e+00,+1.7560999e+00,-1.3783823e+00,+2.2195627e+02,+1.6283447e+02
+2.8465275e+01,+2.8256379e+01,-1.4715716e-01,+1.9187464e+00,-1.3716923e+00,+2.2190001e+00,+2.8774236e+01,+9.8321008e+01
+5.5702816e+01,+3.9659988e+01,-5.7881397e-01,-7.1260774e-01,-2.1907542e+00,+5.5979311e-01,+6.5297273e+01,+5.0163375e+01
+4.9056824e+01,+3.8822059e+01,+1.2829077e+00,+1.9022924e+00,-7.6635975e-01,+2.2629778e+00,+9.5276828e+01,+1.3297461e+02
+2.6470615e+01,+2.3198850e+01,+8.4984285e-01,-1.7357384e+00,+2.0649009e+00,-2.5218017e+00,+3.6619090e+01,+6.7849586e+01
+3.9547617e+01,+3.8390641e+01,+2.2470613e+00,+1.0362453e+00,-1.2942419e+00,+1.8331887e+00,+1.8914842e+02,+6.0914398e+01
+4.5422820e+01,+4.4523473e+01,+2.3410368e+00,+1.6479408e+00,+6.5683323e-01,-2.5671144e+00,+2.3820259e+02,+1.1996218e+02
+3.7095086e+01,+3.0951707e+01,+2.6616096e-02,-1.7840526e+00,-1.1966020e+00,-2.9588518e-01,+3.7108375e+01,+9.4741516e+01
+4.0453539e+01,+9.2346143e+00,-1.6875910e+00,-1.5687615e+00,+9.2619133e-01,-2.3080823e+00,+1.1309612e+02,+2.3128100e+01
+5.2109359e+01,+3.0023830e+01,+4.6887240e-01,+1.7410982e+00,+1.8003610e+00,-2.0372691e+00,+5.7943059e+01,+8.8254078e+01
+5.6000160e+01,+3.1793039e+01,-2.1264188e+00,-1.2754601e+00,+1.9184196e+00,-1.1523941e+00,+2.3811408e+02,+6.1355105e+01
+4.0723008e+01,+4.0322984e+01,-1.2386613e+00,-4.1905040e-01,+2.0963972e+00,-1.3120290e+00,+7.6167617e+01,+4.3915648e+01
+9.2139758e+01,+3.4869012e+01,+8.4387529e-01,+2.2326107e+00,+1.7551601e-01,-7.7011043e-01,+1.2694107e+02,+1.6443227e+02
+2.8150234e+01,+2.7682094e+01,+1.7262515e+00,+9.8556615e-02,-2.8484843e+00,+6.8242496e-01,+8.1600555e+01,+2.7816848e+01
+3.2019463e+01,+2.6908348e+01,-8.5869002e-01,+3.8233346e-01,+1.5975809e-01,-2.7024171e+00,+4.4567758e+01,+2.8899332e+01
+4.6798145e+01,+4.6566508e+01,+1.5005796e+00,+1.2524705e+00,+2.0835388e+00,-9.4744557e-01,+1.1014623e+02,+8.8121922e+01
+6.0417355e+01,+3.9454711e+01,+9.6856540e-01,+7.3423219e-01,-2.7251556e+00,+2.9284686e-01,+9.1042609e+01,+5.0576109e+01
